Título,Autores,Año,Enlace,Institución
Implementación de un repositorio digital para el entorno local de la Facultad de Comunicación de laUniversidad de La Habana,"A Medina González- Bibliotecas. Anales de investigación, 2017 - biblat.unam.mx",2017,https://biblat.unam.mx/es/revista/bibliotecas-anales-de-investigacion/articulo/implementacion-de-un-repositorio-digital-para-el-entorno-local-de-la-facultad-de-comunicacion-de-la-universidad-de-la-habana,Universidad de La Habana
"Introducción del enfoque de género en las carreras de laUniversidad de La Habana: el caso de Bioquímica y Biología Molecular, Psicología y Sociología","T Caram-León, M Tejuca-Martínez, N Ávila-Vargas… - Entorno, 2018 - revistas.utec.edu.sv",2018,https://revistas.utec.edu.sv/index.php/entorno/article/view/560,Universidad de La Habana
Curricularización de la extensión universitaria para la promoción de la salud en laUniversidad de La Habana. Un acercamiento a su conceptualización y praxis,"AB Mainegra,OG Aportela… - + E: Revista de Extensión …, 2016 - dialnet.unirioja.es",2016,https://dialnet.unirioja.es/servlet/articulo?codigo=7125147,Universidad de La Habana
La gestión por procesos en Educación a Distancia en laUniversidad de La Habana,"M Carpio Alvarez,I Licea Jiménez… - Alcance, 2023 - scielo.sld.cu",2023,http://scielo.sld.cu/scielo.php?pid=S2411-99702023000100284&script=sci_arttext&tlng=pt,Universidad de La Habana
[HTML][HTML]La voz autoral en la escritura académica de estudiantes de ciencias sociales de laUniversidad de La Habana,"A Jiménez Marata- Revista Estudios del Desarrollo Social: Cuba y …, 2021 - scielo.sld.cu",2021,http://scielo.sld.cu/scielo.php?pid=S2308-01322021000300009&script=sci_arttext,Universidad de La Habana
[HTML][HTML]Formación de competencias investigativas en Ciencias de la Información desde laUniversidad de La Habana,"S Fernández Hernández… - Revista Cubana de …, 2015 - scielo.sld.cu",2015,http://scielo.sld.cu/scielo.php?pid=S2307-21132015000100004&script=sci_arttext,Universidad de La Habana
[PDF][PDF]Clasificación archivística por procesos: una experiencia en laUniversidad de La Habana,"SLG Benkí, ANB Delgado… - Revista general de …, 2016 - revistas.ucm.es",2016,https://revistas.ucm.es/index.php/RGID/article/download/54713/49916/105590,Universidad de La Habana
[HTML][HTML]La cooperación en la formación de licenciados en Lengua Española para no Hispanohablantes en laUniversidad de La Habana,"S Xin,M Carnero Sánchez- Revista Cubana de Educación Superior, 2021 - scielo.sld.cu",2021,http://scielo.sld.cu/scielo.php?pid=S0257-43142021000100006&script=sci_arttext&tlng=pt,Universidad de La Habana
Estudiantes y graduados de farmacia en la RealUniversidad de La Habanaen el período 1880-1898: las primeras farmacéuticas cubanas,"P Marchante Castellanos… - Revista Cubana de …, 2010 - scielo.sld.cu",2010,http://scielo.sld.cu/scielo.php?pid=S0034-75152010000100013&script=sci_arttext&tlng=pt,Universidad de La Habana
[HTML][HTML]Metodología para gestionar riesgos en la autoevaluación de las maestrías del Instituto de Farmacia y Alimentos de laUniversidad de La Habana,"Y Suárez Pérez, OM Nieto Acosta - Revista Cubana de Educación …, 2020 - scielo.sld.cu",2020,http://scielo.sld.cu/scielo.php?pid=S0257-43142020000300019&script=sci_arttext,Universidad de La Habana
… Revista Cubana de Información en Ciencias de la Salud y los trabajos de diploma de la Licenciatura en Ciencias de la Información de laUniversidad de La Habana,"M Frías-Guzmán,MJ Peralta-González… - Revista Cubana de …, 2016 - medigraphic.com",2016,https://www.medigraphic.com/cgi-bin/new/resumen.cgi?IDARTICULO=63649,Universidad de La Habana
[CITAS][C]Estrategia de gestión de recursos educativos abiertos en forma de objetos de aprendizaje en laUniversidad de La Habana,"J Gil-Universidad de La Habana, 2010",2010,#,Universidad de La Habana
[HTML][HTML]Al abrigo del Alma Mater. Patrimonio cultural universitario: valores y experiencias de gestión desde laUniversidad de La Habana,CF Torres - 2016 - dialnet.unirioja.es,2016,https://dialnet.unirioja.es/servlet/tesis?codigo=55696,Universidad de La Habana
